Summary,Text,Score
Amazing place,"We love this place - high quality and very comfy apartments, great for longer stays. We’re definitely coming back!",5
"We hosted my wife's wedding shower at The Guesthouse. It couldn't have been better! The first floor space is very comfortable, with a chic but historic feel to it. You have the ability to keep things open or separate them off. While it was a bit chilly, we also had access to the awesome roof with breathtaking views. The staff made everything very easy, connecting us with local vendors and making sure everything went off without a snag. We highly recommend The Guesthouse for both events and the rooms are nicer than any apartment I've lived in!",,5
Best 30th Birthday Ever!,"When planning for my 30th birthday party, I knew I wanted to have it somewhere chic and spacious for my friends and I to celebrate. I found The Guesthouse Hotel listed on the LGBT Chamber of Commerce of Illinois web site, and immediately loved the photos and knew it would meet my needs. I was not upset! I rented the three bedroom suite (AMAZING IN EVERY WAY!) and everyone loved it! It was spacious, beautiful and a great space. The staff was super helpful and quick to respond to text messages when I needed help. The space was clean and the building was very quiet. Parking was great (free after 6pm). Checking in and out was also very simple.",5
Weekend in Chicago,Was in Chicago for a meeting over the weekend. The Guesthouse Hotel was recommended by a colleague. Loved everything about it. It is small enough to get personal attention and large enough to have your privacy. The rooms are spacious and well designed. This is super property.,5
Perfect place to enjoy Andersonville. Can’t miss!,,5
Incredible Home Away From Home,"This is an incredible comfortable, clean, spacious, suite space. Truly extraordinary. Nestled in a wonderful city within the city of Chicago with a wide selection of restaurants and shops. There are a plethora number of reasons The Guesthouse Hotel is ranked in the Top Places to Stay while in Chicago. Whether you are here for business or pleasure you will fall in love with the exceptional accommodations and staff of The Guesthouse.",5
A Fantastic Place to Stay,This Dec. 29-Jan3 was the third time we have stayed at The Guesthouse Hotel -twice for New Years Eve with family (3 bedroom) and once in the Spring with friends in a 2 bedroom. The Guesthouse is the only place we want to stay when in Chicago!,5
Awesome apartment at a good location!,"I stayed at this ""hotel"" for 4 days.",4
Lovely property and great for an extended stay,"What a sweet place to stay in Chicago! It is in an interesting neighborhood, the apartments are nicely decorated and comfortable, parking is secure, and they have created a great option to downtown. This is the kind of place to which I will return.",5
Great accommodation,Wonderful apartment style accommodation clean tidy nicely appointed. Convenient location and close to several restaurants. Not far from pale which makes a great place to run. Wonderful staff that were helpful,5
Absolutely perfect!,"I loved every minute of my mini-vacation while staying here. This was an amazing place, even better than the photos. It was so comfortable and relaxing to stay in what was basically an apartment. The location is great. So much to do nearby and so easy to get to. Everything was immaculately cleaned and the suite had everything we could ever hope for. We were so comfortable staying here, it was sometimes hard to make ourselves go out for the evening. I will always be recommending this place to my friends. I seriously couldn't have asked or hoped for anything more.",5
Highly Recommended,"Why stay downtown when you can stay in the lively and interesting neighbourhood of Andersonville in a large and impeccable 1, 2 or 3 bedroom suite with all mod cons. This hotel is indeed a gem. The staff are friendly and helpful, the parking is reasonable, and the suites have everything you need for a home away from home. Good access to shopping, restaurants and to downtown.",5
